"048C","049C","064C","065C","067C","078C","086C","088C","090C","097C","098C","100C","101C","104C","106C","108C","109C","110C","119C","121C","122C","125C","128C","133C","146C","151C","152C","154C","165C","166C","168C","170C","172C","173C","176C","178C","179C","182C","183C","185C","186C","195C","197C","211C","212C","217C","218C","221C","402C","407C","415C","418C_V2"
"150A",0.857176851716358,0.654222952069302,0.556543875032353,0.857176851716358,0.180467844973967,0.679989750637714,0.611231279888827,0.912057737334618,0.433168703412745,0.571809533304703,0.682700420159615,0.815416272874091,0.476337252264775,0.504779450642742,0.219605748816427,0.857176851716358,0.582982562272645,0.857176851716358,0.718502867488416,0.504074005488406,0.655580739087048,0.984617335141952,0.984617335141952,0.87660455540355,0.979827026476071,0.912057737334618,0.979149007440185,0.85320025477937,0.788188395624548,0.359130514318813,0.950520559906599,0.979827026476071,0.857176851716358,0.582982562272645,0.682700420159615,0.579096319990956,0.655041792370348,0.301099255628295,0.359130514318813,0.485374189221449,0.950520559906599,0.155774316265018,0.912057737334618,0.912057737334618,0.889921861196079,0.979827026476071,0.889921861196079,0.889921861196079,0.301099255628295,0.205165337122689,0.857176851716358,0.979827026476071
"153A",0.705719930650627,0.977172542684877,0.901991766258282,0.705719930650627,0.79237214456219,0.978804171404149,0.984315256196392,0.706243223655005,0.900572735734873,0.891052515545575,0.983254837278734,0.609601759194478,0.974851216809616,0.901010877939351,0.793146755335411,0.705719930650627,0.976355398132924,0.705719930650627,0.970095902793139,0.981691516098422,0.976891651535725,0.18900044451325,0.18900044451325,0.982793388534026,0.185617306007607,0.706243223655005,0.215412232331088,0.60878802305391,0.905290018124015,0.899885429543516,0.706108328181139,0.185617306007607,0.705719930650627,0.976355398132924,0.983254837278734,0.978794383016732,0.969704782570897,0.793901227135248,0.899885429543516,0.976567996328788,0.706108328181139,0.793134637460644,0.706243223655005,0.706243223655005,0.0973203051272293,0.185617306007607,0.108428320192,0.0973203051272293,0.793901227135248,0.793846575481749,0.705719930650627,0.185617306007607
"155A",0.981675474549857,0.880377221947908,0.823527997905899,0.981675474549857,0.814436785994022,0.901163327477634,0.681379299257137,0.981756248161864,0.823411013085842,0.826932284408236,0.881236132355196,0.957107524708158,0.880549820949184,0.824277538819019,0.657080498888609,0.981675474549857,0.879881053648071,0.981675474549857,0.0845339264683613,0.880668016489791,0.880269466374518,0.994732114230226,0.994732114230226,0.910399052827866,0.994914247775329,0.981756248161864,0.995267339700402,0.965011947968237,0.907240166958319,0.74937282399191,0.989768167513205,0.994914247775329,0.981675474549857,0.879881053648071,0.881236132355196,0.816214006321444,0.147995001586429,0.875287391603412,0.74937282399191,0.90055017435774,0.989768167513205,0.718999035788253,0.981756248161864,0.981756248161864,0.995136185498265,0.994914247775329,0.991731898995928,0.995136185498265,0.875287391603412,0.779353473097806,0.981675474549857,0.994914247775329
"157A",0.803283063565908,0,0.262144017920323,0.803283063565908,0.630565478266017,0.0578039273762461,0.635642165282117,0.858163949184168,0.587017109571949,0.28117275060469,0.314799002212996,0.916116911985928,0.33469607097521,0.515406362341951,0.62500541146458,0.803283063565908,0.136314612171841,0.803283063565908,0.860917517854731,0.520087343304519,0.277904456715133,0.954561374271536,0.954561374271536,0.565567101549156,0.888918145863372,0.858163949184168,0.980632038515096,0.954545259339737,0.836138117453908,0.671180678606969,0.954587863398611,0.888918145863372,0.803283063565908,0.136314612171841,0.314799002212996,0.268459129259524,0.797456442736663,0.703266564792868,0.671180678606969,0.518991631199714,0.954587863398611,0.498448635804284,0.858163949184168,0.858163949184168,0.97721514674375,0.888918145863372,0.973452072331734,0.97721514674375,0.703266564792868,0.707464334502976,0.803283063565908,0.888918145863372
"159A_V2",0.786629642158688,0.28117275060469,0.0111080150647711,0.786629642158688,0.563450589724357,0.223368823228444,0.593344793466496,0.825226627951099,0.319697206890549,0,0.436634059723194,0.883179590752859,0.621041971861749,0.391307954120547,0.575798031546394,0.786629642158688,0.279439018598384,0.786629642158688,0.822771110537996,0.636749250532868,0.559077207319823,0.950197776830578,0.950197776830578,0.701588791894528,0.979392120484826,0.825226627951099,0.977011077388688,0.958218433008099,0.810436895515313,0.39373539598448,0.958261037066972,0.979392120484826,0.786629642158688,0.279439018598384,0.436634059723194,0.264393250884789,0.886232185656064,0.5362970504807,0.39373539598448,0.530224283047916,0.958261037066972,0.569382091440769,0.825226627951099,0.825226627951099,0.891095119604448,0.979392120484826,0.90220313466922,0.891095119604448,0.5362970504807,0.540494820190808,0.786629642158688,0.979392120484826
"160A",0.787332756670442,0.346307586955343,0.0740381890939317,0.787332756670442,0.562841842696675,0.288503659579097,0.683461152483205,0.825929742462853,0.382627380919709,0.0851462041587028,0.441978102677201,0.883882705264613,0.61667015042205,0.454238128149707,0.601562957855833,0.787332756670442,0.275067197158686,0.787332756670442,0.834023735280329,0.711599951277226,0.624212043670476,0.955294496268845,0.955294496268845,0.710381460380889,0.974772975529388,0.825929742462853,0.970503974834832,0.948675490118499,0.811884623348919,0.308589191825778,0.948718094177373,0.974772975529388,0.787332756670442,0.275067197158686,0.441978102677201,0.17132632910649,0.882219152126046,0.535688303453018,0.308589191825778,0.525852461608218,0.948718094177373,0.638280002203439,0.825929742462853,0.825929742462853,0.901347064125798,0.974772975529388,0.890239049061027,0.901347064125798,0.535688303453018,0.539886073163126,0.787332756670442,0.974772975529388
"162A",0.973815957009454,0.873584533889059,0.758769483873855,0.973815957009454,0.790500199687466,0.821106283222652,0.722516935325765,0.973896730621462,0.758652499053798,0.762173770376191,0.809369221921163,0.949248007167755,0.80868291051515,0.759519024786976,0.633143912582053,0.973815957009454,0.808014143214037,0.973815957009454,0.060597340161805,0.873875328430942,0.873476778315669,0.994707323034097,0.994707323034097,0.911475001312322,0.9948894565792,0.973896730621462,0.995050400390791,0.965181428141066,0.908316115442775,0.773309410298466,0.989937647686034,0.9948894565792,0.973815957009454,0.808014143214037,0.809369221921163,0.840150592628,0.124058415279873,0.730156124973245,0.773309410298466,0.755418907727574,0.989937647686034,0.760136671856881,0.973896730621462,0.973896730621462,0.995111394302135,0.9948894565792,0.991707107799799,0.995111394302135,0.730156124973245,0.63422220646764,0.973815957009454,0.9948894565792
"167A",0.824107252142459,0.994674939524776,0.992926774365313,0.824107252142459,0.969187804865519,0.995732542474974,0.996083371528524,0.824188025754467,0.992974501473752,0.996499825219714,0.994685105106608,0.79953930230076,0.994262890673734,0.993412643678231,0.971134596423823,0.824107252142459,0.993857794972824,0.824107252142459,0.496508144776689,0.995031060950514,0.994731895879883,0.497939906293379,0.497939906293379,0.99699177081528,0.498122039838482,0.824188025754467,0.530458953069692,0.798944953724272,0.993832884945733,0.992287195282395,0.82370117326924,0.498122039838482,0.824107252142459,0.993857794972824,0.994685105106608,0.995280234695187,0.496117024554448,0.969700342277133,0.992287195282395,0.994963125031461,0.82370117326924,0.969950297763973,0.824188025754467,0.824188025754467,0.498343977561418,0.498122039838482,0.494939691059081,0.498343977561418,0.969700342277133,0.969645690623634,0.824107252142459,0.498122039838482
"174A",0.893672427680631,0.741725745081873,0.720035385494279,0.893672427680631,0.821003186664849,0.750716040721816,0.651127389635247,0.89491373167761,0.715268211685419,0.716024523143278,0.908093519769064,0.95286669447937,0.737111612360778,0.643657464455421,0.688106006282732,0.893672427680631,0.814730837396616,0.893672427680631,0.906898843427814,0.90069069687848,0.556103423020419,0.956329517511868,0.956329517511868,0.364983388276788,0.975807996772411,0.89491373167761,0.971771833542032,0.758567522981501,0.0944123723720354,0.712705077168023,0.758610127040374,0.975807996772411,0.893672427680631,0.814730837396616,0.908093519769064,0.824860080711256,0.943630320112618,0.828789801072499,0.712705077168023,0.818953959227698,0.758610127040374,0.712335122818019,0.89491373167761,0.89491373167761,0.902382085368821,0.975807996772411,0.89127407030405,0.902382085368821,0.828789801072499,0.793126829540411,0.893672427680631,0.975807996772411
"175A",0.847580946062883,0.696616158694578,0.515295299381167,0.847580946062883,0.159394993623674,0.72238295726299,0.525295166117729,0.902461831681143,0.391920127761559,0.504187284316396,0.658612234249469,0.805820367220616,0.453656236514867,0.463530874991557,0.0716107472299978,0.847580946062883,0.560301546522737,0.847580946062883,0.57168004668707,0.545060041953444,0.697973945712324,0.981709057644183,0.981709057644183,0.838367270641414,0.97832591913854,0.902461831681143,0.976137024155884,0.851633346839127,0.762667290326797,0.406577039006228,0.948953651966356,0.97832591913854,0.847580946062883,0.560301546522737,0.658612234249469,0.72548315717777,0.635141121805138,0.280026404278001,0.406577039006228,0.462693173471541,0.948953651966356,0.199775687289909,0.902461831681143,0.902461831681143,0.890028918258162,0.97832591913854,0.901136933322933,0.890028918258162,0.280026404278001,0.184092485772396,0.847580946062883,0.97832591913854
