"048C","049C","064C","065C","067C","078C","086C","088C","090C","097C","098C","100C","101C","104C","106C","108C","109C","110C","119C","121C","122C","125C","128C","133C","146C","151C","152C","154C","165C","166C","168C","170C","172C","173C","176C","178C","179C","182C","183C","185C","186C","195C","197C","211C","212C","217C","218C","221C","402C","407C","415C","418C_V2"
"174A",100,100,100,100,100,100,100,100,0.61635896925429,100,100,100,100,0.622066734228684,100,100,100,100,100,100,0.689662655781924,100,100,0.329769185424753,100,100,100,0.681335651942069,0.18481184201964,100,100,100,100,100,100,100,100,100,0.697903085859645,100,0.613507899785807,100,100,100,100,100,100,100,100,100,100,100
"175A",100,100,100,100,100,100,0.441291188266039,100,100,0.6118724660684,100,100,100,100,0.216478802531988,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"181A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"191A",100,100,100,100,0.316337609203706,0.598914219508853,100,100,0.499136671850105,100,100,0.612283517515812,0.690033758338955,0.582374294147023,100,100,0.691847777325846,100,100,100,0.624815768135856,100,100,100,100,100,100,100,100,0.426307847888584,100,100,100,0.656068082468539,100,0.697819275745186,100,100,0.435010362010719,0.596845297218588,100,0.251962178393244,100,100,100,100,100,100,0.329964969203598,0.242018733251974,100,100
"192A",100,100,100,100,100,0.456812743985568,100,100,100,100,0.174997073805439,100,100,100,100,100,0.489901449651372,100,100,100,0.647188090611831,100,100,100,100,100,100,100,100,100,100,100,100,0.63931848361438,0.090884405293083,0.673074330388617,100,100,100,100,100,0.681962707597246,100,100,100,100,100,100,100,100,100,100
"194A",100,100,100,100,100,100,100,100,100,100,0.686360623772789,100,100,100,100,100,100,100,100,100,100,100,100,0.417192749773073,100,100,100,0.605011931490193,0.374334881389698,100,100,100,100,100,0.687001609274361,100,100,100,100,100,0.687091064561725,100,100,100,100,100,100,100,100,100,100,100
"198A_V2",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.565178571264126,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"205A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"209A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0625774756375279,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"224A",100,100,100,100,100,100,100,100,100,100,0.54340391409253,100,100,100,100,100,100,100,100,100,100,100,100,0.399026526988217,100,100,100,100,0.438532092528636,100,100,100,100,100,0.525520435743309,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"225A",100,100,100,100,0.612127175376756,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.315091062427624,100,100,100,0.511306874739993,0.270562063005895,100,100,100,100,100,100,100,100,100,100,100,0.672643203499555,0.522600856953092,100,100,100,100,100,100,0.631931148034425,0.564911346163415,100,100
"226A",100,100,100,100,100,100,0.690429782278747,100,100,0.41406466936451,100,100,100,100,0.586686395544973,100,100,0.672333932694998,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"404A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"405A",100,100,100,0.674638561456224,0.611253219562501,0.495254918442777,100,100,0.543693365589096,100,0.61735870228951,100,0.678188835081189,0.636287298857188,100,100,0.533339118593352,100,100,100,0.63817843573175,100,100,100,100,100,100,100,100,0.252651538507495,100,100,100,0.346872828970289,0.66281233338656,0.209287250500583,100,100,0.253258008613158,0.518134357702364,100,0.639221640877089,0.696676359291198,100,100,100,100,100,0.624090726369519,100,100,100
"406A_V2",100,100,100,100,100,100,0.322918972735475,100,100,0.65484193152724,100,100,100,100,0.0655175348640839,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"409A",100,100,100,100,100,100,100,100,100,100,0.600983983822525,100,100,100,100,100,100,100,100,100,100,100,100,0.388620148183267,100,100,100,100,0.33332467451809,100,100,100,100,100,0.601624969324098,100,100,100,100,100,0.675476448380342,100,100,100,100,100,100,100,100,100,100,100
"410A",100,100,100,100,100,100,100,100,0.616495438023016,100,100,100,100,0.640392357815576,100,100,100,100,100,100,100,100,100,0.335244670032102,100,100,100,0.676228009894722,0.167152731947717,100,100,100,100,100,100,100,100,100,0.699168341483343,100,0.598331324447331,100,100,100,100,100,100,100,100,100,100,100
"413A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"420A",100,100,100,100,100,100,100,100,100,100,0.539767109906284,100,100,100,100,100,100,100,100,100,100,100,100,0.380043576031072,100,100,100,100,0.420285294435832,100,100,100,100,100,0.521883631557064,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
